Date debut;Date fin;Titre compétition;Ville;Code structure;Club organisateur;Code region;Departement;Discipline;Type;Saison;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Mail;Unnamed: 22;Unnamed: 23;Site web;Lieu;Unnamed: 26;Adresse;Spécificité;CP;Ville compétition;Long;Lat;Mandat;
04/04/2026;04/04/2026;CONCOURS NATURE PAQUES SAMEDI;BOULOIRE;1272093;BOULOIRE;CR12;72;Tir Nature;individuel;2026;;;;21 CIBLES;;;;;;;archersduboisdesvallees@gmail.com;0;;;La Brousse;;Chemin pouvardière à la courbe;;72440;BOULOIRE;47.96444;0.5756;https://extranet.ffta.fr/medias/documents_epreuves/10e323e40002b1.pdf;
05/04/2026;05/04/2026;TIR EN CAMPAGNE ECHOLOGIA;LOUVERNÉ;1253081;LE GENEST ST ISLE;CR12;53;Tir en Campagne;individuel;2026;;;;12 CONNUES + 12 INCONNUES;;;;N;;;lesarchersgenestois@gmail.com;0;;;echologia;;Chemin des aumeunes;Echologia;53950;LOUVERNE;48.10677;-0.72512;https://extranet.ffta.fr/medias/documents_epreuves/10e2e442a12328.pdf;
05/04/2026;05/04/2026;CONCOURS NATURE PAQUES DIMANCHE;BOULOIRE;1272093;BOULOIRE;CR12;72;Tir Nature;individuel;2026;;;;21 CIBLES;;;;;;;archersduboisdesvallees@gmail.com;0;;;La Brousse;;Chemin pouvardière à la courbe;;72440;BOULOIRE;47.96444;0.5756;https://extranet.ffta.fr/medias/documents_epreuves/10e323e4b26cab.pdf;
11/04/2026;12/04/2026;CONCOURS ARCHERS DE L'ERDRE;CARQUEFOU;1244009;CARQUEFOU;CR12;44;Para-tir à l'arc en extérieur;individuel;2026;;;;;20m,30m,40m,50m,60m,70m;;;N;;;secretariat@archersdelerdre.info;0;;https://www.archersdelerdre.fr;stade moulin boisseau;;Impasse rue victor hugo;;44470;CARQUEFOU;47.28262;-1.48397;https://extranet.ffta.fr/medias/documents_epreuves/10ea6a95047dad.pdf;
11/04/2026;12/04/2026;CONCOURS EXTÉRIEUR ARCHERS DE L ERDRE;CARQUEFOU;1244009;CARQUEFOU;CR12;44;Para-tir à l'arc en extérieur;individuel;2026;;;;;;;;N;;;secretariat@archersdelerdre.info;0;;https://www.archersdelerdre.fr;Espace Sportif Laforêty;;Impasse rue victor hugo;;44470;CARQUEFOU;47.28262;-1.48397;https://extranet.ffta.fr/medias/documents_epreuves/10ea6ad10920b7.pdf;
11/04/2026;12/04/2026;CONCOURS ARCHERS DE L'ERDRE;CARQUEFOU;1244009;CARQUEFOU;CR12;44;Tir à l'Arc Extérieur;individuel;2026;;;;;20m,30m,40m,50m,60m,70m;;;N;;;secretariat@archersdelerdre.info;0;;https://www.archersdelerdre.fr;stade moulin boisseau;;Impasse rue victor hugo;;44470;CARQUEFOU;47.28262;-1.48397;https://extranet.ffta.fr/medias/documents_epreuves/10ea6a95047dad.pdf;
11/04/2026;11/04/2026;TOURNOI DES POUSSIN;TALMONT SAINT HILAIRE;1285141;LES FLÉCHES D'ALIÉNOR;CR12;85;Tournoi Poussin;individuel;2026;;;;;;;;;;;lesflechesdalienor@gmail.com;0;;;Salle des Minées;;Avenue avenue des sport;;85440;TALMONT ST HILAIRE;46.46446;-1.63249;https://extranet.ffta.fr/medias/documents_epreuves/10e04b212a0d6a.pdf;
12/04/2026;12/04/2026;TAE JEUNES;LA CHAPELLE SUR ERDRE;CR12;CR  PAYS DE LA LOIRE;CR12;44;Tir à l'Arc Extérieur;individuel;2026;;;;;20m,30m,40m,50m,60m,70m;;;N;;;secretariat@arc-paysdelaloire.fr;0;;https://www.arc-paysdelaloire.fr;CREPS;;5 Avenue de la babiniere;;44240;LA CHAPELLE SUR ERDRE;47.264025903242874;-1.5457641466671348;;
12/04/2026;12/04/2026;BEURSAULT;LA FLECHE;1272098;LA FLECHE;CR12;72;Tir Beursault;individuel;2026;;;;Beursault sélectif;;;;;;;ciearclafeche@gmail.com;0;;https://ciearclafleche.com/;Terrain rue Famille Bizot;;Rue famille bizot;;72200;LA FLECHE;47.69004;-0.07497;https://extranet.ffta.fr/medias/documents_epreuves/10e9c801353106.pdf;
12/04/2026;12/04/2026;CONCOURS CAMPAGNE;FONTAINE-MILON;1249049;MAZE;CR12;49;Tir en Campagne;individuel;2026;;;;12 CONNUES + 12 INCONNUES;;;;N;;;ava.maze49@gmail.com;0;;http://www.ava-maze.com;Chatelet;;Route de jarzé;;49140;FONTAINE MILON;47.50429;-0.24659;https://extranet.ffta.fr/medias/documents_epreuves/10e8d4338a1915.pdf;
12/04/2026;12/04/2026;CONCOURS NATURE;LA PÂQUELAIS;1244002;ST HERBLAIN;CR12;44;Tir Nature;individuel;2026;;;;21 CIBLES;;;;;;;concours@archersdesaintherblain.fr;0;;https://www.archersdesaintherblain.fr;Au Pré-Loué;;Route departemental 42;;44360;LA PAQUELAIS;47.34473;-1.69799;https://extranet.ffta.fr/medias/documents_epreuves/10ea07817c88fe.pdf;
18/04/2026;18/04/2026;SPECIAL DEBUTANTS CANDE 18 AVRIL 2026;CANDE;1249047;CANDE;CR12;49;Loisirs;individuel;2026;;;;Débutants;;;;;;;archersdusocande@gmail.com;0;;https://archers-du-so-cande.jimdo.com/;Stade Guy LANGEVIN;;Route de freigne;;49440;CANDE;47.55557;-1.05145;https://extranet.ffta.fr/medias/documents_epreuves/10e9d4812ce562.pdf;
18/04/2026;18/04/2026;PARA TIR EXTERIEUR CANDE 18 AVRIL 2026;CANDE;1249047;CANDE;CR12;49;Para-tir à l'arc en extérieur;individuel;2026;;;;;;;;N;;;archersdusocande@gmail.com;0;;https://archers-du-so-cande.jimdo.com/;Stade Guy LANGEVIN;;Route de freigne;;49440;CANDE;47.55561;-1.05125;https://extranet.ffta.fr/medias/documents_epreuves/10e9d5af7a659.pdf;
18/04/2026;18/04/2026;TAE FORMATION;LA CHAPELLE SUR ERDRE;CR12;CR  PAYS DE LA LOIRE;CR12;44;Tir à l'Arc Extérieur;individuel;2026;;;;;20m,30m,40m,50m,60m,70m;;;N;;;secretariat@arc-paysdelaloire.fr;0;;https://www.arc-paysdelaloire.fr;CREPS;;Avenue de la babiniere;;44240;LA CHAPELLE SUR ERDRE;47.264025903242874;-1.5457641466671348;;
19/04/2026;19/04/2026;TAE;CANDE;1249047;CANDE;CR12;49;Tir à l'Arc Extérieur;individuel;2026;;;;;20m,30m,40m,50m,60m,70m;;;N;;;archersdusocande@gmail.com;0;;https://archers-du-so-cande.jimdo.com/;Stade Guy LANGEVIN;;Route de freigne;;49440;CANDE;47.5556;-1.05136;https://extranet.ffta.fr/medias/documents_epreuves/10e632e4f28d31.pdf;
25/04/2026;26/04/2026;DRE 1ERE MANCHE;NANTES;1244044;NANTES;CR12;44;Tir à l'Arc Extérieur;individuel;2026;;;;;50m,70m;;;N;;;secretariat.archersnantais@gmail.com;0;;https://archers-nantais.org;Plaine de Jeux de la Mainguais;;Rue de la mainguais;;44470;CARQUEFOU;47.282034;-1.487970;https://extranet.ffta.fr/medias/documents_epreuves/10e95791c9c9b5.pdf;
25/04/2026;25/04/2026;WEEK-END TIR NATURE;SAUMUR;1249066;SAUMUR;CR12;49;Tir Nature;individuel;2026;;;;21 CIBLES;;;;;;;patrickmartin49@orange.fr;0;;http://ja-saumur-tiralarc.com;Bois de Terrefort;;Rue des romans;Terrefort;49400;SAUMUR;47.2535;-0.1185;https://extranet.ffta.fr/medias/documents_epreuves/10e95791c9c9b5.pdf;
26/04/2026;26/04/2026;CONCOURS EXTERIEUR;LE MANS;1272105;LE MANS;CR12;72;Para-tir à l'arc en extérieur;individuel;2026;;;;;20m,30m,40m,50m,60m,70m;;;N;;;emilie.thomas.lm@gmail.com;0;;https://sites.google.com/view/lemanssomtiralarc;Gymnase de la Californie;;201 Rue henri champion;;72100;LE MANS;47.98331;0.23376;https://extranet.ffta.fr/medias/documents_epreuves/10e9e27b464f0.pdf;
26/04/2026;26/04/2026;TAE;CHANTONNAY;1285116;CHANTONNAY;CR12;85;Tir à l'Arc Extérieur;individuel;2026;;;;;20m,30m,40m,50m,60m,70m;;;N;;;arcchantonnay85@gmail.com;0;;;Complexe sportif de la Charlère;;Rue de l'arc en ciel;Stade charlère;85110;CHANTONNAY;46.68742;-1.04138;https://extranet.ffta.fr/medias/documents_epreuves/10e77865aae4ba.pdf;
26/04/2026;26/04/2026;TAE;LE MANS;1272105;LE MANS;CR12;72;Tir à l'Arc Extérieur;individuel;2026;;;;;20m,30m,40m,50m,60m,70m;;;N;;;emilie.thomas.lm@gmail.com;0;;https://sites.google.com/view/lemanssomtiralarc;Gymnase de la Californie;;201 Rue henri champion;;72100;LE MANS;47.98331;0.23376;https://extranet.ffta.fr/medias/documents_epreuves/10e9e27b464f0.pdf;
26/04/2026;26/04/2026;WEEK-END TIR NATURE;SAUMUR;1249066;SAUMUR;CR12;49;Tir Nature;individuel;2026;;;;21 CIBLES;;;;;;;patrickmartin49@orange.fr;0;;http://ja-saumur-tiralarc.com;Bois de Terrefort;;Rue des romans;Terrefort;49400;SAUMUR;47.2535;-0.1185;https://extranet.ffta.fr/medias/documents_epreuves/10e95794b9db8b.pdf;
01/05/2026;01/05/2026;TAEI - TAEN 2026;CHOLET;1249050;CHOLET TAC;CR12;49;Para-tir à l'arc en extérieur;individuel;2026;;;;;;;;;;;;0;;;;;;;;;47.0402;-0.88695;https://extranet.ffta.fr/medias/documents_epreuves/10ea83750fa2e0.pdf;
01/05/2026;01/05/2026;TAE;CHOLET;1249050;CHOLET TAC;CR12;49;Tir à l'Arc Extérieur;individuel;2026;;;;;20m,30m,40m,50m,60m,70m;;;N;;;alexis.garnier49@gmail.com;0;;http://www.arc-cholet.com/;Complexe sportif Joachin du Bellay;;Square de liré;;49300;CHOLET;47.0402;-0.88695;https://extranet.ffta.fr/medias/documents_epreuves/10ea83750fa2e0.pdf;
01/05/2026;01/05/2026;TIR EN CAMPAGNE 2026;THOUARSAIS-BOUILDROUX;1285122;FONTENAY LE COMTE;CR12;85;Tir en Campagne;individuel;2026;;;;12 CONNUES + 12 INCONNUES;;;;N;;;archers.fontenay@gmail.com;0;;https://tiralarcfontenaisien.wordpress.com/;Centre La Largère;;Hameau la largère;;85410;THOUARSAIS BOUILDROUX;46.60294;-0.88362;https://extranet.ffta.fr/medias/documents_epreuves/10ea83750fa2e0.pdf;
02/05/2026;02/05/2026;TIR PARCOURS DECOUVERTE 2026;THOUARSAIS-BOUILDROUX;1285122;FONTENAY LE COMTE;CR12;85;Loisirs;individuel;2026;;;;Autre;;;;;;;archers.fontenay@gmail.com;0;;https://tiralarcfontenaisien.wordpress.com/;Centre La Largère;;Hameau la largère;;85410;THOUARSAIS BOUILDROUX;46.60294;-0.88362;https://extranet.ffta.fr/medias/documents_epreuves/10e74394cf5782.pdf;
02/05/2026;02/05/2026;3D LE MANS;LE MANS;1272103;LE MANS NATURE;CR12;72;Tir 3D;individuel;2026;;;;1 X 24 CIBLES;;;;N;;;didier.tollet0277@orange.fr;0;;http://lesarchersdelanature.fr;LE MANS NATURE;;Chemin de la blanchardiere;Domaine de la blanchardiere;72560;CHANGE;47.99063;0.2683;https://extranet.ffta.fr/medias/documents_epreuves/10e1c34b02105.pdf;
02/05/2026;02/05/2026;TRJ;DAUMERAY;CR12;CR  PAYS DE LA LOIRE;CR12;49;Tir à l'Arc Extérieur;individuel;2026;;;;;20m,30m,40m,50m,60m,70m;;;O;;;secretariat@arc-paysdelaloire.fr;0;;https://www.arc-paysdelaloire.fr;COMPLEXE SPORTIF ALDO PLUTTI;;Rue des sports;;49640;DAUMERAY;47.69945;0.35499;https://extranet.ffta.fr/medias/documents_epreuves/10e74394cf5782.pdf;
02/05/2026;02/05/2026;TOURNOI REGIONAL JEUNE;DAUMERAY;1249068;DAUMERAY;CR12;49;Tir à l'Arc Extérieur;individuel;2026;;;;;20m,30m,40m,50m,60m,70m;;;O;;;jpld.dupuis@orange.fr;0;;http://www.daumeray-archerie.com;Terrain d'Arc Aldo Puitti;;Rue de la liberté;;49640;DAUMERAY;47.69992;-0.35601;https://extranet.ffta.fr/medias/documents_epreuves/10e744427e6fd3.pdf;
02/05/2026;28/06/2026;TIR BEURSAULT;DONGES;1244010;DONGES;CR12;44;Tir Beursault;individuel;2026;;;;Beursault sélectif;;;;;;;launaythierry1961@gmail.com;0;;http://www.flechesdongeoises.com;Jeu d'Arc Jean-Yves Fouache;;Rue du stade;;44480;DONGES;47.31905;-2.08009;https://extranet.ffta.fr/medias/documents_epreuves/10e74394cf5782.pdf;
02/05/2026;02/05/2026;DOUBLE NATURE 2 ET 3 MAI 2026;CHEMILLE EN ANJOU;1249061;CHEMILLE;CR12;49;Tir Nature;individuel;2026;;;;21 CIBLES;;;;;;;gourdon.girarderie@gmail.com;0;;archerschemillois.president@gmail.com;1;;Rue des étang de melay;;49120;CHEMILLE;47.1725;-0.72622;https://extranet.ffta.fr/medias/documents_epreuves/10e74394cf5782.pdf;
03/05/2026;03/05/2026;CONCOURS TAE 2026;BEAUPREAU EN MAUGES;1249054;BEAUPREAU;CR12;49;Para-tir à l'arc en extérieur;individuel;2026;;;;;;;;;;;;0;;;;;;;;;47.1942;-0.99289;https://extranet.ffta.fr/medias/documents_epreuves/10e970946e9a58.pdf;
03/05/2026;03/05/2026;TAE LE MANS MAINE;LE MANS;1272108;LE MANS MAINE;CR12;72;Para-tir à l'arc en extérieur;individuel;2026;;;;;20m,30m,40m,50m,60m,70m;;;N;;;contacts@arcdumaine.fr;0;;http://www.arcdumaine.fr;Terrain du Villaret;;Chemin du villaret;;72000;LE MANS;48.01979;0.23195;;
03/05/2026;03/05/2026;CONCOURS TAE;BOUGUENAIS;1244041;VERTOU;CR12;44;Para-tir à l'arc en extérieur;individuel;2026;;;;;20m,30m,40m,50m,60m,70m;;;N;;;lefeuvre.christian@neuf.fr;0;;https://cabbouguenais.jimdofree.com/;terrain de l'Ouche du Cormier;;Rue de la gagnerie;;44340;BOUGUENAIS;47.17006;-1.62045;;
03/05/2026;03/05/2026;3D LE MANS;LE MANS;1272103;LE MANS NATURE;CR12;72;Tir 3D;individuel;2026;;;;1 X 24 CIBLES;;;;N;;;didier.tollet0277@orange.fr;0;;http://lesarchersdelanature.fr;LE MANS NATURE;;Chemin de la blanchardiere;Domaine de la blanchardiere;72560;CHANGE;47.99063;0.2683;https://extranet.ffta.fr/medias/documents_epreuves/10e1c3426729c8.pdf;
03/05/2026;03/05/2026;TAE;BEAUPREAU EN MAUGES;1249054;BEAUPREAU;CR12;49;Tir à l'Arc Extérieur;individuel;2026;;;;;20m,30m,40m,50m,60m,70m;;;N;;;infos@tiralarc-beaupreau.fr;0;;http://www.tiralarc-beaupreau.fr/;Complexe Sportif de la Promenade;;Rue de l'hippodrome;;49600;BEAUPREAU;47.1942;-0.99289;https://extranet.ffta.fr/medias/documents_epreuves/10e970a163eab7.pdf;
03/05/2026;03/05/2026;TAE;LE MANS;1272108;LE MANS MAINE;CR12;72;Tir à l'Arc Extérieur;individuel;2026;;;;;20m,30m,40m,50m,60m,70m;;;N;;;contacts@arcdumaine.fr;0;;http://www.arcdumaine.fr;Terrain du Villaret;;Chemin du villaret;;72000;LE MANS;48.01979;0.23195;;
03/05/2026;03/05/2026;TAE;BOUGUENAIS;1244041;VERTOU;CR12;44;Tir à l'Arc Extérieur;individuel;2026;;;;;20m,30m,40m,50m,60m,70m;;;N;;;lefeuvre.christian@neuf.fr;0;;https://cabbouguenais.jimdofree.com/;terrain de l'Ouche du Cormier;;Rue de la gagnerie;;44340;BOUGUENAIS;47.17006;-1.62045;;
03/05/2026;03/05/2026;DOUBLE NATURE DU 2 ET 3 MAI;CHEMILLE EN ANJOU;1249061;CHEMILLE;CR12;49;Tir Nature;individuel;2026;;;;21 CIBLES;;;;;;;gourdon.girarderie@gmail.com;0;;archerschemillois.president@gmail.com;1;;Rue des étang de melay;;49120;CHEMILLE;47.17246;-0.72628;;
08/05/2026;08/05/2026;CONCOURS 08 MAI;AIZENAY;1285133;AIZENAY;CR12;85;Para-tir à l'arc en extérieur;individuel;2026;;;;;20m,30m,40m,50m,60m,70m;;;N;;;arc.aizenay@gmail.com;0;;http://archer-club-aizenay.club.sportsregions.fr;PRE DES ARCHERS;;Rue de la clairiere;;85190;AIZENAY;46.73476;-1.59059;https://extranet.ffta.fr/medias/documents_epreuves/10e998d35651da.pdf;
09/05/2026;09/05/2026;CONCOURS EXTERIEUR SPECIAL JEUNES;MESLAY DU MAINE;1253072;MESLAY DU MAINE;CR12;53;Jeunes;individuel;2026;;;;RENCONTRE JEUNES;;;;;;;besnard.cyril@laposte.net;0;;;STADE DE L'HOMMEAU;;Route de laval;;53170;MESLAY DU MAINE;47.95219;-0.55706;https://extranet.ffta.fr/medias/documents_epreuves/10e8880381b721.pdf;
09/05/2026;10/05/2026;DRE 2E MANCHE;DAUMERAY;1249068;DAUMERAY;CR12;49;Tir à l'Arc Extérieur;individuel;2026;;;;;50m,70m;;;N;;;jpld.dupuis@orange.fr;0;;http://www.daumeray-archerie.com;Complexe sportif et Terrain d'arc Aldo Piutti;;Rue des sports;;49640;DAUMERAY;47.69992;-0.35601;https://extranet.ffta.fr/medias/documents_epreuves/10e8880381b721.pdf;
09/05/2026;09/05/2026;TIR CAMPAGNE LE GRAND DEFI;SAINT JULIEN DES LANDES;1285138;SAINTE FOY;CR12;85;Tir en Campagne;individuel;2026;;;;12 CONNUES + 12 INCONNUES;;;;N;;;lesrobinsdesfoy@gmail.com;0;;https://lesrobinsdesfoy.sportsregions.fr/;POLE EQUESTRE VENDEEN;;Rue rd 109;La jeanniere;85150;SAINTE FOY;46.53560;-1.67612;https://extranet.ffta.fr/medias/documents_epreuves/10e9d9198a229.pdf;
10/05/2026;10/05/2026;TIR CAMPAGNE CHAMPIONNAT RÉGIONAL;SAINT JULIEN DES LANDES;1285138;SAINTE FOY;CR12;85;Tir en Campagne;individuel;2026;;CR12;R;12 CONNUES + 12 INCONNUES;;;;N;;;lesrobinsdesfoy@gmail.com;0;;https://lesrobinsdesfoy.sportsregions.fr/;POLE EQUESTRE VENDEEN;;Rue rd 109;La jeanniere;85150;SAINTE FOY;46.5356;-1.67612;https://extranet.ffta.fr/medias/documents_epreuves/10e9d903ec63c0.pdf;
14/05/2026;15/05/2026;TIR EN CAMPAGNE;PORNIC;1244046;PORNIC;CR12;44;Tir en Campagne;individuel;2026;;;;12 CONNUES + 12 INCONNUES;;;;N;O;;picotpeinture@wanadoo.fr;0;;;du Patisseau;;Rue du patisseau;;44210;PORNIC;47.1188305703977;-2.0729619474263585;https://extranet.ffta.fr/medias/documents_epreuves/10e852431c5fe1.pdf;
16/05/2026;16/05/2026;CONCOURS INTERNE LOISIR;LE MANS;1272105;LE MANS;CR12;72;Loisirs;individuel;2026;;;;Autre;;;;;;;emilie.thomas.lm@gmail.com;0;;https://sites.google.com/view/lemanssomtiralarc;Gymnase de la Californie;;201 Rue henri champion;;72100;LE MANS;47.98331;0.23376;https://extranet.ffta.fr/medias/documents_epreuves/10e8f4d409fba.pdf;
16/05/2026;17/05/2026;TAE;LA GARNACHE;1285113;LA GARNACHE;CR12;85;Para-tir à l'arc en extérieur;individuel;2026;;;;;20m,30m,40m,50m,60m,70m;;;N;;;garna.archers.85@gmail.com;0;;https://garna-archers.fr;Zone de loisirs de l'équaizière;;Rue jan et joël martel;Zone de l'équaizière;85710;LA GARNACHE;46.93641;-1.88661;https://extranet.ffta.fr/medias/documents_epreuves/10e8f4d409fba.pdf;
16/05/2026;17/05/2026;TAE;LA GARNACHE;1285113;LA GARNACHE;CR12;85;Tir à l'Arc Extérieur;;;;;;;;;;;;;garna.archers.85@gmail.com;;;;Zone de loisirs de l'équaizière;;Rue jan et joël martel;Zone de l'équaizière;85710;LA GARNACHE;46.93641;-1.88661;https://extranet.ffta.fr/medias/documents_epreuves/10e9ca52e4e699.pdf;
16/05/2026;16/05/2026;3D PORNIC;PORNIC;1244046;PORNIC;CR12;44;Tir 3D;individuel;2026;;;;1 X 24 CIBLES;;;;N;;;picotpeinture@wanadoo.fr;0;;;du Patisseau;;Rue du patisseau;;44210;PORNIC;47.1188305703977;-2.0729619474263585;https://extranet.ffta.fr/medias/documents_epreuves/10e73686dc845.pdf;
17/05/2026;17/05/2026;TAE LAIGNE ST GERVAIS;LAIGNÉ ST GERVAIS;1272091;LAIGNÉ SAINT GERVAIS;CR12;72;Para-tir à l'arc en extérieur;individuel;2026;;;;;20m,30m,40m,50m,60m,70m;;;N;;;christophe.ehermann@gmail.com;0;;https://www.colsg.fr/tir-a-l-arc/;Complexe Sportif Jean Claverie;;Rue frères bailleul;;72220;LAIGNE EN BELIN;47.87774;0.22509;;
17/05/2026;17/05/2026;TAE;LAIGNÉ ST GERVAIS;1272091;LAIGNÉ SAINT GERVAIS;CR12;72;Tir à l'Arc Extérieur;individuel;2026;;;;;20m,30m,40m,50m,60m,70m;;;N;;;christophe.ehermann@gmail.com;0;;https://www.colsg.fr/tir-a-l-arc/;Complexe Sportif Jean Claverie;;Rue frères bailleul;;72220;LAIGNE EN BELIN;47.87774;0.22509;;
20/05/2026;20/05/2026;TAE JEUNES;LA CHAPELLE SUR ERDRE;CR12;CR  PAYS DE LA LOIRE;CR12;44;Tir à l'Arc Extérieur;individuel;2026;;;;;20m,30m,40m,50m,60m,70m;;;N;;;secretariat@arc-paysdelaloire.fr;0;;https://www.arc-paysdelaloire.fr;CREPS;;5 Avenue de la babiniere;;44240;LA CHAPELLE SUR ERDRE;47.264025903242874;-1.5457641466671348;;
23/05/2026;23/05/2026;TIR À L'ARC EXTERIEUR;ANGERS;1249056;ANGERS;CR12;49;Para-tir à l'arc en extérieur;individuel;2026;;;;;20m,30m,40m,50m,60m,70m;;;N;;;sgta.communication@gmail.com;0;;http://www.sgta-tir-a-larc.com;Terrain de tir à l'arc;;37 Route de bouchemaine;;49000;ANGERS;47.44627;-0.57533;https://extranet.ffta.fr/medias/documents_epreuves/10e89e05c7c06f.pdf;
23/05/2026;23/05/2026;RUN ARCHERY LOISIRS;LA CHATAIGNERAIE;1285115;LA CHATAIGNERAIE;CR12;85;Rencontres Clubs Loisirs;individuel;2026;;;;;;;;;;;arc.chataigneraie@gmail.com;0;;http://talc.clubeo.com;SALLE DES SILENES;;32 Avenue georges clemenceau;;85120;LA CHATAIGNERAIE;46.65355;-0.75009;https://extranet.ffta.fr/medias/documents_epreuves/10e99dd32273b5.pdf;
23/05/2026;23/05/2026;TAE;ANGERS;1249056;ANGERS;CR12;49;Tir à l'Arc Extérieur;individuel;2026;;;;;20m,30m,40m,50m,60m,70m;;;N;;;sgta.communication@gmail.com;0;;http://www.sgta-tir-a-larc.com;Terrain de tir à l'arc;;37 Route de bouchemaine;;49000;ANGERS;47.44627;-0.57533;https://extranet.ffta.fr/medias/documents_epreuves/10e89e05c7c06f.pdf;
23/05/2026;24/05/2026;CAMPAGNE LA TURBALLE;LA TURBALLE;1244036;LA TURBALLE;CR12;44;Tir en Campagne;individuel;2026;;;;12 CONNUES + 12 INCONNUES;;;;N;O;;benjamin.jube44420@gmail.com;0;;;Manoir de Bréhet;;Route de la turballe;;44420;LA TURBALLE;47.345038093215;-2.4753470056325;https://extranet.ffta.fr/medias/documents_epreuves/10e89e05c7c06f.pdf;
